curie,label,root,retrieved_at
CL:4040005,mesenchymal stem cell of apical papilla,CL:0002320,2026-08-29T15:27:59+00:00
CL:4047001,cycling stromal cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:4047007,immature pericyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:4047012,angiogenic pericyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:4047023,intestinal lamina propria fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4047032,secretory pericyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052004,intestinal fibroblastic reticular cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052005,intestinal subserosal fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052007,subepithelial intestinal fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052008,crypt-bottom fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052009,crypt-top fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052010,pre-theca cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052012,interna theca cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052013,externa theca cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052029,subpleural fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052030,adventitial fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052045,steroidogenic stromal cell of ovary,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052062,onychofibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4052071,quiescent fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4072103,hair follicle dermal stem cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:4072104,fibrochondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:4300370,VLMC NN vascular leptomeningeal cell (Mmus),CL:0002320,2026-08-29T15:27:59+00:00
CL:4301616,arachnoid barrier cell (Mmus),CL:0002320,2026-08-29T15:27:59+00:00
CL:4307113,ABC NN_1 Pde11a arachnoid barrier cell (Mmus),CL:0002320,2026-08-29T15:27:59+00:00
CL:4307114,ABC NN_1 Dapl1 arachnoid barrier cell (Mmus),CL:0002320,2026-08-29T15:27:59+00:00
CL:4307115,ABC NN_1 Cubn arachnoid barrier cell (Mmus),CL:0002320,2026-08-29T15:27:59+00:00
CL:7770002,juxtacanalicular tissue cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:7770003,beam A cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:7770005,beam cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:7770006,"beam B cell, human",CL:0002320,2026-08-29T15:27:59+00:00
