slug	name	parent	mendelian	solver_status	boomer_icd10_terms	direct_icd10cm_count	mondo_icd10_count	exact_ordo_links	ordo_icd10_count	ordo_predicates	no_mapping_found
Congenital_Primary_Megaureter	Congenital Primary Megaureter	MONDO:0018960	0	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:617	1	skos:exactMatch	0
Congenital_Sialidosis_Type_2	Congenital Sialidosis Type 2	MONDO:0019682	1	ALL_MAPPINGS_CONSISTENT	ICD10:E77.1	0	0	ORDO:93400	1	skos:broadMatch	0
Congenital_Sodium_Diarrhea	Congenital Sodium Diarrhea	MONDO:0015170	1	ALL_MAPPINGS_CONSISTENT	ICD10:K90.8	0	0	ORDO:103908	1	skos:broadMatch	0
Congenital_Stationary_Night_Blindness	Congenital Stationary Night Blindness	MONDO:0016293	1	TIMED_OUT	ICD10:H53.6	0	0	ORDO:215	1	skos:broadMatch	0
Congenital_Sucrase-Isomaltase_Deficiency	Congenital Sucrase-Isomaltase Deficiency	MONDO:0009114	1	TIMED_OUT	ICD10:E74.3	0	0	ORDO:35122	1	skos:broadMatch	0
Congenital_Thrombotic_Thrombocytopenic_Purpura	Congenital Thrombotic Thrombocytopenic Purpura	MONDO:0010122	1	ALL_MAPPINGS_CONSISTENT	ICD10:M31.1	0	0	ORDO:93583	1	skos:broadMatch	0
Congenital_Tufting_Enteropathy	Congenital Tufting Enteropathy	MONDO:0013184	1	ALL_MAPPINGS_CONSISTENT	ICD10:P78.3	0	0	ORDO:92050	1	skos:broadMatch	0
Congenital_Vertebral-Cardiac-Renal_Anomalies_Syndrome	Congenital Vertebral-Cardiac-Renal Anomalies Syndrome	MONDO:0020831	1	TIMED_OUT	ICD10:Q87.8	0	0	ORDO:521438	1	skos:broadMatch	0
Constitutional_Mismatch_Repair_Deficiency	Constitutional Mismatch Repair Deficiency	MONDO:0031219	0	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:252202	1	skos:broadMatch	0
Cooks_Syndrome	Cooks Syndrome	MONDO:0007134	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q84.6	0	0	ORDO:1487	1	skos:broadMatch	0
Cori_Forbes_Disease	Cori Forbes Disease	MONDO:0009291	1	TIMED_OUT	ICD10:E74.0|ICD10CM:E74.03	0	2	ORDO:366	1	skos:broadMatch	0
Corneal_Dystrophy	Corneal Dystrophy	MONDO:0018102	1	TIMED_OUT	ICD10:H18.5	0	0	ORDO:34533	1	skos:exactMatch	0
Cornelia_de_Lange_Syndrome_4	Cornelia de Lange Syndrome 4	MONDO:0013864	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Cornelia_de_Lange_Syndrome_5	Cornelia de Lange Syndrome 5	MONDO:0010471	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Coronary_Artery_Congenital_Malformation	Coronary Artery Congenital Malformation	MONDO:0015203	0	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:1081	1	skos:exactMatch	0
Corpus_Callosum_Agenesis-Intellectual_Disability-Coloboma-Micrognathia_Syndrome	Corpus Callosum Agenesis-Intellectual Disability-Coloboma-Micrognathia Syndrome	MONDO:0010333	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q87.8	0	0	ORDO:52055	1	skos:broadMatch	0
Cortisone_Reductase_Deficiency	Cortisone Reductase Deficiency	MONDO:0000193	1	ALL_MAPPINGS_CONSISTENT	ICD10:E25.8	0	0	ORDO:168588	1	skos:broadMatch	0
Costello_Syndrome	Costello Syndrome	MONDO:0009026	1	TIMED_OUT	ICD10:Q87.8	0	0	ORDO:3071	1	skos:broadMatch	0
Cowden_Syndrome	Cowden Syndrome	MONDO:0016063	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q85.8	0	0	ORDO:201	1	skos:broadMatch	0
Cranial_Neuralgia	Cranial Neuralgia	MONDO:0016374	0	ALL_MAPPINGS_CONSISTENT	ICD10CM:G50.0	0	0	ORDO:221109	0		0
Cranioectodermal_Dysplasia	Cranioectodermal Dysplasia	MONDO:0009032	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q87.5	0	0	ORDO:1515	1	skos:broadMatch	0
Craniofacial-Deafness-Hand_Syndrome	Craniofacial-Deafness-Hand Syndrome	MONDO:0007395	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q87.0	0	0	ORDO:1529	1	skos:broadMatch	0
Craniometaphyseal_Dysplasia	Craniometaphyseal Dysplasia	MONDO:0015465	1	TIMED_OUT	ICD10:Q78.8	0	0	ORDO:1522	1	skos:broadMatch	0
Creatine_Transporter_Deficiency	Creatine Transporter Deficiency	MONDO:0010305	1	ALL_MAPPINGS_CONSISTENT	ICD10:E72.8	0	0	ORDO:52503	1	skos:broadMatch	0
Crigler-Najjar_Syndrome	Crigler-Najjar Syndrome	MONDO:0009044	1	TIMED_OUT	ICD10:E80.5|ICD10CM:E80.5	0	2	ORDO:205	1	skos:exactMatch	0
Crouzon_Syndrome	Crouzon Syndrome	MONDO:0007405	1	TIMED_OUT	ICD10:Q75.1	0	0	ORDO:207	1	skos:broadMatch	0
Crouzon_Syndrome_with_Acanthosis_Nigricans	Crouzon Syndrome with Acanthosis Nigricans	MONDO:0012833	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q75.1	0	0	ORDO:93262	1	skos:broadMatch	0
Cryoglobulinemic_Vasculitis	Cryoglobulinemic Vasculitis	MONDO:0007407	0	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:91138	1	skos:broadMatch	0
Cyanosis_Transient_Neonatal	Cyanosis Transient Neonatal	MONDO:0013511	1	ALL_MAPPINGS_CONSISTENT	ICD10:D58.2	0	0		0		0
