slug	route	subject	predicate	source_target	target	source	fact_type	sub	object	prior	status	reason
Inherited_Porphyria	ordo	ORDO:100924	skos:broadMatch	ICD-10:E80.2	ICD10:E80.2	ordo.db	ProperSubClassOf	ORDO:100924	ICD10:E80.2	0.9	INCLUDED	NA
Inherited_Porphyria	ordo	ORDO:443062	skos:broadMatch	ICD-10:E80.1	ICD10:E80.1	ordo.db	ProperSubClassOf	ORDO:443062	ICD10:E80.1	0.9	INCLUDED	NA
Inherited_Porphyria	ordo	ORDO:738	skos:narrowMatch	ICD-10:E80.1	ICD10:E80.1	ordo.db	ProperSubClassOf	ICD10:E80.1	ORDO:738	0.9	INCLUDED	NA
Inherited_Porphyria	ordo	ORDO:738	skos:narrowMatch	ICD-10:E80.2	ICD10:E80.2	ordo.db	ProperSubClassOf	ICD10:E80.2	ORDO:738	0.9	INCLUDED	NA
Inherited_Porphyria	ordo	ORDO:79273	skos:broadMatch	ICD-10:E80.2	ICD10:E80.2	ordo.db	ProperSubClassOf	ORDO:79273	ICD10:E80.2	0.9	INCLUDED	NA
Inherited_Porphyria	ordo	ORDO:79276	skos:broadMatch	ICD-10:E80.2	ICD10:E80.2	ordo.db	ProperSubClassOf	ORDO:79276	ICD10:E80.2	0.9	INCLUDED	NA
Inherited_Porphyria	ordo	ORDO:79473	skos:broadMatch	ICD-10:E80.2	ICD10:E80.2	ordo.db	ProperSubClassOf	ORDO:79473	ICD10:E80.2	0.9	INCLUDED	NA
Inherited_Porphyria	ordo	ORDO:95159	skos:broadMatch	ICD-10:E80.2	ICD10:E80.2	ordo.db	ProperSubClassOf	ORDO:95159	ICD10:E80.2	0.9	INCLUDED	NA
Inherited_Retinal_Dystrophy	ordo	ORDO:180	skos:broadMatch	ICD-10:H31.2	ICD10:H31.2	ordo.db	ProperSubClassOf	ORDO:180	ICD10:H31.2	0.9	INCLUDED	NA
Inherited_Retinal_Dystrophy	ordo	ORDO:1872	skos:broadMatch	ICD-10:H35.5	ICD10:H35.5	ordo.db	ProperSubClassOf	ORDO:1872	ICD10:H35.5	0.9	INCLUDED	NA
Inherited_Retinal_Dystrophy	ordo	ORDO:65	skos:broadMatch	ICD-10:H35.5	ICD10:H35.5	ordo.db	ProperSubClassOf	ORDO:65	ICD10:H35.5	0.9	INCLUDED	NA
Inherited_Retinal_Dystrophy	ordo	ORDO:791	skos:broadMatch	ICD-10:H35.5	ICD10:H35.5	ordo.db	ProperSubClassOf	ORDO:791	ICD10:H35.5	0.9	INCLUDED	NA
Intellectual_Developmental_Disorder_Autosomal_Dominant_72	ordo	ORDO:652487	skos:broadMatch	ICD-10:Q87.3	ICD10:Q87.3	ordo.db	ProperSubClassOf	ORDO:652487	ICD10:Q87.3	0.9	INCLUDED	NA
Intellectual_Disability_Anterior_Maxillary_Protrusion_and_Strabismus	ordo	ORDO:562559	skos:broadMatch	ICD-10:F72.8	ICD10:F72.8	ordo.db	NA	NA	NA	NA	REVIEW	Target absent from classification; retain code qualifiers for review
Intellectual_Disability_Autosomal_Dominant_6	ordo	ORDO:589547	skos:broadMatch	ICD-10:G93.4	ICD10:G93.4	ordo.db	ProperSubClassOf	ORDO:589547	ICD10:G93.4	0.9	INCLUDED	NA
Isobutyryl-CoA_Dehydrogenase_Deficiency	ordo	ORDO:79159	skos:broadMatch	ICD-10:E71.1	ICD10:E71.1	ordo.db	ProperSubClassOf	ORDO:79159	ICD10:E71.1	0.9	INCLUDED	NA
Isolated_Anophthalmia-Microphthalmia_Syndrome	ordo	ORDO:251279	skos:broadMatch	ICD-10:Q15.8	ICD10:Q15.8	ordo.db	ProperSubClassOf	ORDO:251279	ICD10:Q15.8	0.9	INCLUDED	NA
Isolated_Anophthalmia-Microphthalmia_Syndrome	ordo	ORDO:35612	skos:exactMatch	ICD-10:Q11.2	ICD10:Q11.2	ordo.db	EquivalentTo	ORDO:35612	ICD10:Q11.2	0.95	INCLUDED	NA
Isolated_Anophthalmia-Microphthalmia_Syndrome	ordo	ORDO:98938	skos:broadMatch	ICD-10:Q11.2	ICD10:Q11.2	ordo.db	ProperSubClassOf	ORDO:98938	ICD10:Q11.2	0.9	INCLUDED	NA
Isolated_Sedoheptulokinase_Deficiency	ordo	ORDO:440713	skos:broadMatch	ICD-10:E88.8	ICD10:E88.8	ordo.db	ProperSubClassOf	ORDO:440713	ICD10:E88.8	0.9	INCLUDED	NA
Isolated_Sulfite_Oxidase_Deficiency	ordo	ORDO:99731	skos:broadMatch	ICD-10:E72.1	ICD10:E72.1	ordo.db	ProperSubClassOf	ORDO:99731	ICD10:E72.1	0.9	INCLUDED	NA
Isolated_Woolly_Hair	ordo	ORDO:170	skos:broadMatch	ICD-10:Q84.1	ICD10:Q84.1	ordo.db	ProperSubClassOf	ORDO:170	ICD10:Q84.1	0.9	INCLUDED	NA
