dataset,cell_type,gene,comparison,phenotype,n_group1,n_group2,mean_group1,mean_group2,log2_mean_diff,fold_change,test_statistic,pvalue,qvalue_BH,published_adj_p,cohens_d,marker_class,direction,resilient_direction_inferred
Supplementary_Data_1:Fig. 2f,Astrocyte,ACSS1,AD_vs_Control_PAC-level,AD,100,100,,,0.44009355,1.3566922978405869,,7.352474773786653e-87,7.506108575029956e-86,1.8946339846183068e-85,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACSS2,AD_vs_Control_PAC-level,AD,100,100,,,-0.24049841,0.8464528365249192,,0.0001265836744848,0.00017233923835112102,0.0004344001470841,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTB,AD_vs_Control_PAC-level,AD,100,100,,,-0.33125797,0.7948431114080731,,7.326244429927557e-28,2.9202512762648304e-27,7.37107284864215e-27,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTG1,AD_vs_Control_PAC-level,AD,100,100,,,-0.5999286,0.6597866078852526,,7.303199827083717e-87,7.466948702130437e-86,1.884749551787749e-85,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTN1,AD_vs_Control_PAC-level,AD,100,100,,,-0.977894,0.5077203531070317,,2.6671550309084148e-79,2.4422142451691507e-78,6.164448675854587e-78,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTN2,AD_vs_Control_PAC-level,AD,100,100,,,-0.4097906,0.7527326211680392,,0.0002220888720449,0.000294453941614095,0.000742230812206,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTN4,AD_vs_Control_PAC-level,AD,100,100,,,0.123163976,1.0891207972289965,,0.0009694649738845,0.0011932950191416197,0.0030066126772258,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTR10,AD_vs_Control_PAC-level,AD,100,100,,,-0.23102188,0.8520311730207213,,1.463219994471802e-11,3.235830831615624e-11,8.167634401731543e-11,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTR1A,AD_vs_Control_PAC-level,AD,100,100,,,0.21582194,1.161365385288677,,0.0002993683032216,0.00039122644135188077,0.0009861846508533,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTR1B,AD_vs_Control_PAC-level,AD,100,100,,,0.27978325,1.2140124778815888,,4.0006416143568846e-05,5.731962430289294e-05,0.00014453039856,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTR2,AD_vs_Control_PAC-level,AD,100,100,,,-0.09984917,0.9331305427994271,,0.0060955029499816,0.006667717923856412,0.016800584040778,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTR3,AD_vs_Control_PAC-level,AD,100,100,,,-0.23134477,0.8518405010121057,,5.0903907960603456e-11,1.0935387262893457e-10,2.760226039383852e-10,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTR3B,AD_vs_Control_PAC-level,AD,100,100,,,-0.40925956,0.7530097446744859,,8.502987376643383e-23,2.935912854933909e-22,7.41060459655467e-22,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACTR6,AD_vs_Control_PAC-level,AD,100,100,,,-0.29426774,0.8154861387465201,,0.0004890781283707,0.0006252886725337548,0.001575654765128,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACVR1B,AD_vs_Control_PAC-level,AD,100,100,,,-0.39239585,0.7618633446630735,,1.779813720164514e-05,2.6327694303471616e-05,6.639689688556684e-05,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACVR1C,AD_vs_Control_PAC-level,AD,100,100,,,0.5817554,1.4966692142940416,,4.1948078316301504e-14,1.0548707929540526e-13,2.6626234269520054e-13,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACVR2B,AD_vs_Control_PAC-level,AD,100,100,,,0.20130722,1.1497396575065693,,0.0012776949522444,0.0015470762034610899,0.0038981097986392,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACYP1,AD_vs_Control_PAC-level,AD,100,100,,,0.29290354,1.225103417554801,,6.973436408540942e-08,1.2427906470667026e-07,3.136139088133872e-07,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACYP2,AD_vs_Control_PAC-level,AD,100,100,,,0.18250369,1.1348516280069816,,7.911870410187442e-21,2.5806959277864616e-20,6.513993449303111e-20,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ADA2,AD_vs_Control_PAC-level,AD,100,100,,,-0.38051304,0.7681643734217265,,0.008888326157924,0.009431608892367384,0.0237623027433507,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAM10,AD_vs_Control_PAC-level,AD,100,100,,,0.12235224,1.0885081730315498,,5.4306661193371386e-06,8.362394474620899e-06,2.109346469074369e-05,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAM12,AD_vs_Control_PAC-level,AD,100,100,,,-0.33009365,0.7954848445854741,,4.212328122117512e-16,1.1471527148334817e-15,2.895554330643284e-15,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAM15,AD_vs_Control_PAC-level,AD,100,100,,,-0.3576487,0.7804354951139266,,0.0051552529161895,0.005697516553035415,0.0143580321984211,,none,down_in_ADPAC,higher_in_resilient
